fixture id,Home team id,Home team name,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,,fixture id,away team id,away team name,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,,Match Number,fixture.id,fixture.date,teams.home.id,teams.home.name,teams.home.winner,teams.away.id,teams.away.name,teams.away.winner,goals.home,goals.away
867946,52,Crystal Palace,2,2,10,6,9,1,16,3,1,56%,1,0,1,562,487,87%,,,867946,42,Arsenal,2,4,10,4,8,2,11,5,2,44%,2,0,2,438,360,82%,,,0,867946,2022-08-05T19:00:00+00:00,52,Crystal Palace,FALSE,42,Arsenal,TRUE,0,2
867947,36,Fulham,3,2,9,4,7,2,7,4,4,33%,2,0,1,294,181,62%,,,867947,40,Liverpool,4,5,11,2,9,2,9,4,4,67%,0,0,1,612,473,77%,,,1,867947,2022-08-06T11:30:00+00:00,36,Fulham,DRAW,40,Liverpool,DRAW,2,2
867948,35,Bournemouth,3,2,7,2,6,1,18,5,1,34%,3,0,2,301,211,70%,,,867948,66,Aston Villa,2,7,15,6,4,11,16,5,4,66%,3,0,1,571,479,84%,,,2,867948,2022-08-06T14:00:00+00:00,35,Bournemouth,TRUE,66,Aston Villa,FALSE,2,0
867949,63,Leeds,4,5,12,3,7,5,13,6,0,40%,2,0,5,355,269,76%,,,867949,39,Wolves,6,6,15,3,8,7,9,4,1,60%,0,0,3,546,463,85%,,,3,867949,2022-08-06T14:00:00+00:00,63,Leeds,TRUE,39,Wolves,FALSE,2,1
867950,46,Leicester,5,6,14,3,5,9,6,5,2,55%,0,0,1,580,510,88%,,,867950,55,Brentford,3,4,8,1,5,3,5,6,2,45%,0,0,3,457,386,84%,,,4,867950,2022-08-07T13:00:00+00:00,46,Leicester,DRAW,55,Brentford,DRAW,2,2
867951,34,Newcastle,10,8,23,5,16,7,9,11,2,61%,0,0,0,469,379,81%,,,867951,65,Nottingham Forest,2,3,5,2,4,1,14,1,0,39%,3,0,7,294,207,70%,,,5,867951,2022-08-06T14:00:00+00:00,34,Newcastle,TRUE,65,Nottingham Forest,FALSE,2,0
867952,47,Tottenham,8,6,18,4,14,4,11,10,2,58%,3,0,1,554,471,85%,,,867952,41,Southampton,2,5,10,3,6,4,6,2,0,42%,0,0,5,410,337,82%,,,6,867952,2022-08-06T14:00:00+00:00,47,Tottenham,TRUE,41,Southampton,FALSE,4,1
867953,45,Everton,4,3,8,1,7,1,14,4,0,37%,3,0,5,335,246,73%,,,867953,49,Chelsea,6,3,15,6,11,4,11,16,2,63%,2,0,3,566,490,87%,,,7,867953,2022-08-06T16:30:00+00:00,45,Everton,FALSE,49,Chelsea,TRUE,0,1
867954,33,Manchester United,5,5,17,7,13,4,7,6,3,63%,4,0,2,548,452,82%,,,867954,51,Brighton,4,6,15,5,10,5,12,2,1,37%,1,0,5,326,229,70%,,,8,867954,2022-08-07T13:00:00+00:00,33,Manchester United,FALSE,51,Brighton,TRUE,1,2
867955,48,West Ham,1,2,6,3,5,1,8,1,4,25%,0,0,0,263,206,78%,,,867955,50,Manchester City,2,8,14,4,9,5,4,4,1,75%,1,0,1,833,774,93%,,,9,867955,2022-08-07T15:30:00+00:00,48,West Ham,FALSE,50,Manchester City,TRUE,0,2
